#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 4	3.6029e+04	4.3712e+03	1.1368e+03	1.3573e-11	5.2851e+06	4.3568e+05	8.8914e+01	1.4757e+02	5.8658e+01	9.8073e+00	4.0609e-09	7.5587e-01	3.5843e+03	4.2157e+01	5.3405e+02	4.5572e+01	5.8039e+02	1.0453e+00	1.9933e+04	1.1954e+03	2.1751e+03	1.8866e+01	6.1636e-04	5.7143e+02	2.6484e+02	6.9910e+00	5.3720e+02	1.1714e+04	3.8169e+02	8.0028e+02	1.1651e+00	1.2226e+00	3.5703e-04	3.0432e-03	1.5970e+02	7.4685e+01	3.1560e+01	3.9182e-05	4.3721e+04	1.8531e+05	8.1757e-02	2.4223e+00	3.0934e-02	1.4205e+04	1.9138e+02	4.5166e-01	2.7516e+02	1.2537e-03	1.5741e-03	3.2033e-04	3.3651e+03	5.9978e+03	3.3936e+03	1.1497e+01	9.6539e+00	2.1431e-02	6.4431e+02	4.7430e+05	1.2563e+04	2.8271e+04	8.5095e+04	4.2181e-10	1.0000e-37	4.1523e-08	1.4226e+00	1.7243e+03	2.2768e-08	6.8803e+00	7.2610e-09	3.5422e+04	1.0143e-01	1.2759e-05	4.2133e-05	2.9374e-05	8.3061e-02	2.8135e+01	4.1232e+01	1.7516e+01	6.7894e+00	3.7767e-10	3.0041e-03	2.6456e-02	1.0035e-02	3.9495e-02	1.7531e+01	3.7467e+02	4.3478e+01	4.9894e+02	3.8434e+03	8.7291e+02	1.3022e+03	7.6917e-03	6.8839e+00	3.5703e-04
iteration 3	4.0499e+04	4.8817e+03	1.4135e+03	1.0000e-37	5.2851e+06	1.5445e+06	3.8603e+00	6.0289e+00	2.1686e+00	1.7643e+04	1.3360e+03	3.2859e+03	3.1014e+04	3.3369e+01	3.9327e+03	2.0748e+01	1.8506e+03	4.1764e+03	4.0670e+04	5.3925e+02	3.7416e+04	5.0180e+03	1.8278e-04	1.6468e+04	1.0121e+03	1.0655e+04	1.5344e+03	2.6879e+05	3.9049e+02	9.0400e+03	1.0382e+03	5.6292e+03	1.7244e+03	1.0542e+03	5.4905e+04	1.9012e+04	7.6124e+02	7.2777e-11	1.8789e+05	7.3531e+05	4.1398e+01	5.8099e+01	1.5729e+01	5.6494e+04	2.7678e+02	1.3708e+01	9.1163e+02	3.1643e+03	3.8713e+03	7.0706e+02	1.2781e+04	2.0566e+04	3.8306e+04	9.9698e+00	9.2989e+00	9.2364e-03	5.1676e+02	4.7430e+05	3.7779e+04	2.9933e+04	9.0099e+04	2.5347e-03	1.0000e-37	1.5757e+02	7.0984e+02	6.2602e+03	5.1794e+02	7.2424e+02	1.6520e+02	1.8171e+05	8.8334e+02	3.0831e+01	1.0113e+02	7.0301e+01	1.5482e-02	8.6612e+02	1.3646e+03	9.0051e+01	2.0900e+02	2.0608e+02	2.3996e-01	1.9287e+00	7.0037e-01	2.8690e+00	2.5074e+02	1.6386e+03	6.2183e+02	2.2352e+03	2.8137e+04	1.3621e+04	2.3795e+04	4.8560e-04	1.0612e+04	1.7244e+03
iteration 3	2.1126e+04	2.6734e+03	1.4990e+03	1.0000e-37	5.2851e+06	1.5850e+06	9.2293e-02	1.4383e-01	5.1539e-02	1.9158e+04	8.9411e+03	4.0691e+03	2.7820e+04	2.4115e+01	2.3954e+03	2.0651e+00	1.7119e+03	5.6269e+03	4.1787e+04	3.3499e+02	3.8238e+04	6.9698e+03	1.0000e-37	1.7012e+04	4.9851e+03	7.6614e+04	1.7686e+02	2.7237e+05	9.0776e-04	2.8574e+03	8.9071e+02	2.6105e+04	7.7449e+03	6.1794e+03	2.5340e+05	8.6896e+04	6.5149e+02	1.9362e-12	2.7584e+05	1.2852e+06	2.2309e+01	3.0897e+01	8.4885e+00	1.0518e+04	7.9405e+02	1.4490e+02	9.3940e+02	5.5334e+03	6.6822e+03	1.1488e+03	1.2574e+04	1.8625e+04	1.2108e+04	8.7277e+00	8.8960e+00	3.4224e-03	3.2544e+01	4.7430e+05	3.9848e+04	3.2196e+03	9.6909e+03	1.0687e-01	1.0000e-37	1.3120e+03	1.7774e+03	7.3828e+03	4.9552e+03	7.7831e+02	1.5808e+03	2.9947e+05	1.1676e+03	4.4192e+01	1.4465e+02	1.0046e+02	1.5496e-03	5.5512e+02	1.1099e+03	1.1117e+01	1.3396e+02	1.3877e+03	2.2641e+00	1.7546e+01	6.6042e+00	2.6414e+01	1.3888e+02	2.8451e+03	3.4441e+02	3.8300e+03	7.3975e+04	1.1673e+04	2.6565e+04	1.8038e-05	7.6584e+04	7.7449e+03
iteration 3	7.6711e+03	9.9690e+02	1.3521e+03	1.0000e-37	5.2851e+06	1.6434e+06	5.1390e-08	7.9996e-08	2.8606e-08	1.8419e+04	1.3181e+04	4.1625e+03	3.3474e+03	2.5722e+00	2.5752e+02	2.3769e-02	1.5979e+02	6.1409e+03	4.6817e+03	1.7585e+02	1.8643e+04	8.5626e+03	1.0000e-37	8.9660e+03	6.8768e+03	8.8631e+04	1.9388e+01	1.4052e+05	1.0000e-37	1.9679e+02	2.9933e+02	5.0090e+04	1.5653e+04	1.8125e+04	5.1642e+05	1.7941e+05	7.0071e+01	1.0000e-37	2.8228e+05	1.4274e+06	5.1693e+00	7.1457e+00	1.9675e+00	7.3230e+02	3.1672e+03	2.0194e+03	1.0869e+03	3.6292e+03	4.3716e+03	7.4240e+02	1.1700e+04	1.7689e+04	8.3384e+02	7.7072e+00	8.7315e+00	2.2860e-04	3.1988e-01	4.7430e+05	4.1832e+04	2.0770e+02	6.2518e+02	1.0059e+00	1.0000e-37	2.4423e+03	8.3288e+02	7.6962e+03	7.8916e+03	1.3703e+02	2.5177e+03	3.2427e+05	5.0160e+02	3.3468e+01	1.0954e+02	7.6077e+01	1.2017e-05	8.2859e+01	3.6889e+02	1.1412e-01	1.9995e+01	2.0740e+03	4.7523e+01	3.2267e+02	1.2683e+02	4.9702e+02	2.4964e+01	3.4384e+03	6.1910e+01	4.5334e+03	1.0627e+05	5.4339e+03	1.3210e+04	4.2806e-10	8.8628e+04	1.5653e+04
iteration 3	9.7317e+02	2.7700e+02	1.3116e+03	1.0000e-37	5.2851e+06	1.6734e+06	1.9789e-11	3.0760e-11	1.0972e-11	1.7822e+04	1.2886e+04	4.1142e+03	1.0834e+02	8.5652e-03	1.1110e+00	9.6993e-06	2.2059e-01	6.2074e+03	4.4032e+01	9.0421e+01	5.5798e+02	7.6479e+03	1.0000e-37	2.6128e+02	6.8081e+02	1.4423e+04	6.3583e-01	7.2082e+03	1.0000e-37	9.9099e-01	4.2246e+01	4.0804e+04	2.0683e+04	1.5674e+04	7.3325e+05	2.6231e+05	7.2959e-01	1.0000e-37	2.3641e+05	1.3029e+06	8.4157e-01	1.1627e+00	3.2043e-01	1.3121e+01	4.9122e+03	2.0484e+04	1.3069e+03	2.2460e+03	2.7036e+03	4.5754e+02	1.3120e+04	1.9193e+04	4.1991e+00	6.3307e+00	8.2646e+00	4.9959e-11	3.2625e-04	4.7430e+05	4.4979e+04	1.5800e+00	4.7559e+00	1.6245e+00	1.0000e-37	2.4023e+03	1.1749e+02	6.3040e+03	7.2744e+03	5.5590e+00	2.3209e+03	3.2437e+05	8.1549e+01	2.4881e+01	8.1464e+01	5.6583e+01	4.6468e-13	5.2562e+00	5.1931e+01	9.0244e-05	1.2684e+00	2.0754e+03	7.4358e+02	4.1347e+03	1.7465e+03	6.6247e+03	1.3849e+00	3.7047e+03	3.4345e+00	4.9957e+03	9.5811e+04	1.6199e+02	3.9599e+02	1.0000e-37	1.4422e+04	2.0683e+04
iteration 3	3.1860e+02	3.5776e+00	1.6969e+03	1.0000e-37	5.2851e+06	1.5474e+06	1.0000e-37	1.0000e-37	1.0000e-37	1.6632e+04	7.8580e+03	3.6527e+03	4.7110e-02	1.0000e-37	7.0751e-04	1.0000e-37	1.0000e-37	5.1482e+03	5.6056e-03	3.4371e+01	8.0691e-01	6.1854e+03	1.0000e-37	2.6289e-01	3.1344e+01	4.4845e+02	5.6261e-03	6.7307e+01	1.0000e-37	6.1659e-04	2.5716e+00	2.5813e+04	1.3244e+04	1.0355e+04	5.9670e+05	2.2299e+05	4.4909e-03	1.0000e-37	1.7650e+05	1.0286e+06	8.2269e-02	1.1372e-01	3.1347e-02	1.9374e-01	3.8776e+03	9.3945e+04	1.5177e+03	1.0532e+03	1.2674e+03	2.1427e+02	1.6254e+04	2.6099e+04	2.6127e-03	1.8621e+00	2.5847e+00	1.0000e-37	1.8863e-07	4.7430e+05	5.6796e+04	1.6470e-03	4.9574e-03	1.0047e+00	1.0000e-37	1.4037e+03	6.1305e+00	5.6121e+03	4.4046e+03	1.1589e-01	1.4052e+03	3.8357e+05	5.7577e+00	1.4094e+01	4.6164e+01	3.2070e+01	1.0000e-37	3.5997e-01	3.1603e+00	3.8216e-08	8.6866e-02	1.3040e+03	3.2295e+03	1.5119e+04	6.5090e+03	2.4858e+04	4.2494e-02	3.4985e+03	1.0538e-01	4.9080e+03	8.4846e+04	2.3314e-01	5.7377e-01	1.0000e-37	4.4845e+02	1.3244e+04
iteration 4	1.4332e+02	2.7968e-02	2.1006e+03	1.0000e-37	5.2851e+06	1.1484e+06	1.0000e-37	1.0000e-37	1.0000e-37	8.3184e+03	2.3517e+03	1.3980e+03	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.8415e+03	1.0000e-37	1.7655e+01	2.4562e-03	2.1769e+03	1.0000e-37	8.1716e-04	3.9743e+00	2.4994e+01	1.3592e-04	1.6385e+00	1.0000e-37	1.9048e-06	1.4476e-01	2.2094e+03	2.8891e+03	1.7638e+03	3.6566e+05	1.2806e+05	7.5940e-05	1.0000e-37	1.2461e+05	6.9939e+05	3.2468e-03	4.5084e-03	1.2364e-03	6.7454e-03	2.5292e+03	1.8292e+05	1.6185e+03	5.2393e+01	6.3062e+01	1.0670e+01	2.0495e+04	3.5945e+04	8.0712e-06	4.7391e-01	5.1639e-01	1.0000e-37	1.0000e-37	4.7430e+05	7.6242e+04	7.7243e-06	2.3250e-05	6.1922e-02	1.0000e-37	6.2529e+01	1.0702e-01	5.9448e+03	3.0425e+02	6.0591e-03	9.7034e+01	5.4773e+05	6.4943e-02	9.7201e-01	3.1862e+00	2.2142e+00	1.0000e-37	3.1195e-02	1.7787e-01	1.0000e-37	7.5278e-03	3.6596e+02	4.5166e+03	2.2625e+04	9.6720e+03	3.6814e+04	3.2175e-03	2.8921e+03	7.9793e-03	4.3169e+03	7.7400e+04	7.0890e-04	1.7473e-03	1.0000e-37	2.4994e+01	2.8891e+03
iteration 3	2.9779e-04	2.9910e-07	2.9709e-01	3.4765e-03	5.2851e+07	1.4680e+00	7.1002e+03	1.4204e+04	7.1037e+03	1.0000e-37	1.0000e-37	1.0000e-37	1.6175e+00	4.6673e-01	7.3312e-11	3.4121e-08	4.9381e-04	1.0000e-37	4.4764e+03	1.9023e+00	3.1220e-09	8.9582e-12	7.7772e-07	4.0911e-13	5.1977e-03	1.0000e-37	2.9529e-14	6.0149e-11	9.2316e-10	1.0720e-14	1.0000e-37	7.0760e-22	4.3617e-24	1.0000e-37	7.0193e-10	2.3494e-10	1.4192e-12	1.2830e-01	1.9751e-02	3.7411e-02	1.0000e-37	1.0000e-37	1.0000e-37	4.6353e-11	8.4944e-12	1.0000e-37	5.5545e-13	1.0000e-37	1.0000e-37	1.0000e-37	1.4999e-03	2.9086e-03	2.0529e-09	7.4192e-03	3.7117e-03	5.7918e-06	9.9277e-15	4.7430e+06	5.2788e-03	2.0932e-13	6.3005e-13	9.1406e-45	1.0000e-37	1.0000e-37	8.9767e-22	2.8596e-12	1.0000e-37	4.1438e-26	1.0000e-37	1.3889e-02	1.4003e-27	1.0000e-37	1.0000e-37	1.0000e-37	5.9284e-09	1.1574e-23	1.0000e-37	1.2600e-16	2.7931e-24	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0529e-25	8.9816e-05	2.6112e-25	1.2755e-04	3.2202e-11	9.0109e-10	2.2209e-09	4.0884e+03	1.0000e-37	4.3617e-24
iteration 3	2.8597e-02	5.4844e-04	3.1871e+00	3.0164e-03	5.2851e+07	1.5751e+01	1.4938e+04	2.7881e+04	1.2943e+04	9.5309e-16	1.0000e-37	7.0586e-17	1.7231e+01	4.4992e+00	6.1766e-08	5.6714e-05	9.7612e-02	9.7898e-17	7.2312e+03	2.4151e+01	2.8167e-07	8.8450e-10	1.7962e-04	7.5148e-10	5.6037e-02	6.6435e-11	2.4655e-11	5.8193e-09	1.0503e-07	8.5697e-12	3.2318e-21	5.6354e-19	3.5642e-21	1.0000e-37	1.2513e-07	4.1882e-08	2.1124e-09	1.1800e+00	2.1184e-01	4.2886e-01	2.9075e-20	7.2047e-20	4.2972e-20	7.8829e-08	9.5393e-10	1.0000e-37	6.3497e-11	1.0000e-37	1.0000e-37	1.0000e-37	1.6268e-02	3.1518e-02	2.1767e-07	8.4720e-02	4.1135e-02	8.4591e-04	9.1791e-11	4.7430e+06	5.7297e-02	1.8174e-10	5.4704e-10	1.1419e-38	1.0000e-37	1.0000e-37	1.7741e-17	3.2672e-10	1.0000e-37	2.8367e-21	1.0000e-37	1.5085e-01	2.1188e-22	1.0000e-37	1.0000e-37	1.0000e-37	5.6390e-06	1.1158e-18	4.1348e-21	1.1112e-12	2.6927e-19	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	7.6689e-21	9.9100e-04	1.9019e-20	1.4073e-03	3.6172e-09	8.1296e-08	2.0037e-07	3.9485e+03	6.6433e-11	3.5642e-21
iteration 3	2.6207e+00	4.2445e-01	4.2974e+01	3.0795e-03	5.2851e+07	2.1173e+02	4.2899e+04	7.6797e+04	3.3898e+04	2.9436e-13	7.0437e-29	2.1800e-14	2.2407e+02	5.8859e+01	5.8409e-05	1.6298e-02	8.0973e+00	3.0235e-14	8.3483e+03	1.3447e+02	3.7640e-05	7.2651e-08	2.1789e-02	5.8487e-07	7.6885e-01	4.5088e-09	9.8461e-09	5.4814e-07	2.1470e-05	5.5964e-09	1.8682e-17	2.5991e-16	1.1020e-18	3.2818e-13	3.4897e-05	1.1680e-05	6.4346e-06	1.4603e+00	2.8296e+00	7.6431e+00	2.0679e-16	4.9155e-16	2.8475e-16	4.6945e-04	1.7566e-07	2.5439e-20	1.2645e-08	1.0000e-37	1.0000e-37	1.0000e-37	2.2977e-01	4.4371e-01	4.0990e-05	1.1087e+00	6.3384e-01	1.7486e-01	5.7477e-07	4.7430e+06	8.1264e-01	1.8665e-07	5.6183e-07	1.5321e-29	1.0000e-37	2.9334e-29	1.7965e-13	6.5189e-08	5.2363e-31	1.2528e-16	1.6699e-31	2.1494e+00	6.6478e-18	5.6813e-25	9.0360e-25	3.3547e-25	3.9197e-03	8.9787e-14	2.3881e-17	5.3622e-09	2.1667e-14	6.1234e-30	4.5849e-23	4.1626e-22	2.2065e-22	6.8275e-22	4.7337e-16	1.5039e-02	1.1740e-15	2.1353e-02	6.6782e-07	1.0864e-05	2.6777e-05	3.3368e+03	4.5081e-09	1.1020e-18
iteration 3	3.8836e+02	7.8543e+02	5.6774e+02	1.3145e-03	5.2851e+07	2.5234e+03	2.4545e+04	4.3855e+04	1.9310e+04	8.2047e-11	1.3271e-23	6.0764e-12	1.7059e+03	5.0507e+03	3.4832e-01	4.4124e+00	9.9035e+02	8.4275e-12	1.5742e+04	2.5772e+02	1.0039e-01	3.7849e-06	8.5051e-02	1.3456e-03	1.0890e+01	2.5912e-07	3.4519e-06	9.1788e-05	7.6639e-03	4.0928e-05	3.0859e-12	3.7621e-13	3.0793e-16	1.7351e-11	3.6790e+00	1.2325e+00	3.7167e-04	4.8097e-01	3.8260e+01	1.4607e+02	3.5973e-11	5.3027e-06	3.0437e-11	7.3000e-02	3.3078e-05	3.1438e-14	2.5300e-06	6.6176e-19	8.7976e-19	2.1800e-19	3.3079e+00	6.3784e+00	1.1808e-01	1.1707e+01	1.0088e+01	3.1671e-01	3.0178e-03	4.7430e+06	1.1819e+01	2.9289e-03	8.8160e-03	2.5725e-24	1.0000e-37	2.4423e-23	5.5276e-09	1.3273e-05	7.4701e-25	3.4260e-11	2.3823e-25	3.1754e+01	9.0809e-13	1.9559e-18	4.4103e-18	2.4545e-18	2.1213e+00	6.4982e-09	8.9814e-07	1.7800e-05	1.5681e-09	1.2402e-24	5.6495e-17	5.1315e-16	2.7408e-16	8.4372e-16	2.2283e-10	2.3521e-01	5.5262e-10	3.3336e-01	1.2714e-04	2.8974e-02	7.1413e-02	2.2786e+03	2.5902e-07	3.0793e-16
iteration 3	5.0978e+03	2.6856e+03	4.3060e+03	5.1780e-05	5.2851e+07	1.1421e+04	8.4987e+03	1.5922e+04	7.4237e+03	6.4200e-08	1.3683e-17	4.7546e-09	3.2075e+03	5.6621e+03	1.0241e+01	2.7653e+01	1.2192e+03	6.5944e-09	1.2262e+05	9.6269e+03	1.9237e+02	2.8143e-04	8.4834e-02	2.0787e-02	1.1618e+02	2.3632e-05	9.2426e-03	7.4048e-02	6.0105e+00	2.7580e-01	5.6100e-07	3.6604e-09	2.4545e-13	1.3714e-09	5.8803e+01	1.9995e+01	4.2623e-01	1.8885e-01	4.1409e+02	1.7350e+03	2.4457e-06	5.6049e-02	1.0977e-06	1.4176e+02	4.2325e+00	3.7541e-10	3.3393e-01	2.1053e-14	2.8020e-14	6.9677e-15	3.7068e+01	7.2842e+01	2.8892e+00	1.2691e+02	9.8711e+01	1.0361e+00	4.5846e+00	4.7430e+06	1.3791e+02	3.6150e+01	1.0881e+02	4.0286e-21	1.0000e-37	2.2005e-17	8.6745e-07	1.7869e+00	1.0980e-18	6.6282e-08	3.5016e-19	3.7269e+02	1.0085e-09	1.1169e-14	3.4505e-14	2.3336e-14	2.4904e+01	8.7462e-05	1.9745e-02	1.8629e-02	2.1106e-05	1.9013e-18	6.7382e-13	6.1203e-12	3.2808e-12	1.0075e-11	5.2798e-07	2.6744e+00	1.3094e-06	3.7547e+00	1.5646e+01	5.9055e+01	1.3332e+02	8.1873e+02	2.3594e-05	2.4545e-13
iteration 3	1.0367e+04	3.9182e+03	8.6233e+03	1.2335e-07	5.2851e+07	5.5274e+04	4.3058e+03	8.6130e+03	4.3072e+03	4.7607e-05	7.0119e-14	3.5257e-06	4.6101e+03	5.0711e+03	1.0173e+02	8.0010e+01	1.3569e+03	4.8899e-06	1.5105e+05	2.0983e+04	1.0988e+03	2.0377e-02	7.2107e-02	2.7174e-01	8.1392e+02	2.0696e-03	3.5241e-01	2.0352e+00	8.5824e+01	2.1036e+01	4.5169e-04	1.3650e-06	2.0113e-10	1.3359e-07	4.4530e+02	1.7338e+02	4.3119e+00	1.0508e-01	4.1853e+03	1.6843e+04	2.4717e-04	6.2959e-01	9.5000e-05	1.8393e+03	2.4056e+02	3.6552e-07	2.3853e+01	1.3923e-10	1.8352e-10	4.4287e-11	4.1652e+02	8.1984e+02	1.0254e+02	1.7860e+02	1.0565e+02	1.7438e+00	1.9047e+02	4.7430e+06	1.4884e+03	2.1102e+03	6.3517e+03	3.9806e-18	1.0000e-37	1.2250e-13	9.1037e-05	1.2798e+02	5.8969e-15	4.4227e-05	1.8806e-15	3.7635e+03	4.0908e-07	9.2422e-12	3.0572e-11	2.1330e-11	1.7647e+01	2.9897e-02	1.3044e+00	1.1781e+00	7.2146e-03	9.7109e-15	6.5556e-10	5.9545e-09	3.1993e-09	9.8093e-09	3.2197e-04	3.0549e+01	7.9848e-04	4.0699e+01	4.0584e+02	3.8945e+02	7.0937e+02	8.5110e+01	2.0627e-03	2.0113e-10
iteration 3	3.3283e+04	7.1506e+03	1.0102e+04	4.4694e-10	5.2851e+07	4.3798e+05	2.8686e+03	5.7847e+03	2.9160e+03	4.7131e-02	5.4229e-11	3.4905e-03	9.3071e+03	3.2862e+03	1.0052e+03	1.4783e+02	2.7419e+03	4.8410e-03	1.8534e+05	2.0832e+04	4.0168e+03	1.9063e+00	3.3388e-02	9.1216e+00	1.8689e+03	2.4079e-01	5.8592e+00	1.3268e+02	8.8318e+02	8.0960e+02	1.0083e-01	1.1100e-03	3.7296e-07	4.2426e-05	1.0552e+03	4.9298e+02	4.6766e+01	1.8764e-02	4.2185e+04	1.7071e+05	6.5904e-03	1.8031e+00	2.4916e-03	1.6724e+04	9.0368e+02	7.3770e-04	2.7679e+02	8.4033e-07	1.0559e-06	2.1557e-07	3.6680e+03	6.5190e+03	3.4723e+03	1.7863e+02	1.0515e+02	1.5588e+00	7.3373e+02	4.7430e+06	1.2694e+04	2.4812e+04	7.4684e+04	5.1566e-15	1.0000e-37	3.0309e-10	1.0339e-02	1.5258e+03	1.5073e-11	5.1079e-02	4.8070e-12	3.4437e+04	7.5650e-05	8.1298e-09	2.6869e-08	1.8739e-08	5.6382e+00	2.3697e+00	3.0448e+01	2.1753e+01	5.7185e-01	5.8431e-12	1.3315e-06	1.2093e-05	6.4557e-06	1.9881e-05	1.1745e-01	3.6052e+02	2.9128e-01	4.6327e+02	3.1749e+03	1.5633e+03	2.4536e+03	4.1380e+00	2.3992e-01	3.7296e-07
iteration 4	3.4752e+05	4.2538e+04	1.5621e+04	3.7050e-12	5.2851e+07	3.7721e+06	9.6564e+02	1.6098e+03	6.4415e+02	7.6293e+01	1.6256e-07	5.8119e+00	3.6546e+04	1.3312e+03	9.0890e+03	2.0528e+02	1.8957e+04	8.0455e+00	4.7928e+05	1.3748e+04	6.6509e+04	2.0448e+02	6.7538e-03	1.5737e+04	2.7933e+03	1.0717e+02	1.6525e+03	2.9774e+05	3.7885e+03	1.7430e+04	9.5329e+00	2.2413e+01	5.9600e-03	6.4917e-02	1.7387e+03	8.0532e+02	1.4156e+03	3.6912e-04	3.9197e+05	1.4407e+06	1.1830e-01	2.4512e+00	4.4810e-02	1.2237e+05	2.0093e+03	7.8666e+00	2.5048e+03	3.1897e-03	3.8628e-03	6.7315e-04	2.9903e+04	5.0435e+04	7.3884e+04	1.3784e+02	9.7910e+01	3.5871e-01	1.3170e+03	4.7430e+06	1.0255e+05	6.4573e+04	1.9436e+05	1.1623e-10	1.0000e-37	6.2100e-07	6.9832e+00	1.4654e+04	2.6047e-08	6.1956e+01	8.3069e-09	3.0424e+05	1.1283e-01	1.1044e-05	3.6166e-05	2.5122e-05	6.0093e-01	1.1135e+02	1.7512e+02	2.1761e+02	2.6871e+01	1.4444e-08	3.6261e-02	3.0739e-01	1.2458e-01	4.6824e-01	2.4063e+01	3.3531e+03	5.9677e+01	4.3200e+03	3.5540e+04	2.6576e+04	3.9933e+04	1.3000e-01	1.0689e+02	5.9600e-03
iteration 3	5.3475e+05	6.0197e+04	4.2362e+04	1.0000e-37	5.2851e+07	1.5451e+07	4.0945e+01	6.3951e+01	2.3006e+01	1.7871e+05	1.2578e+05	3.1920e+04	4.8857e+05	7.0505e+02	6.6009e+04	3.6937e+01	3.0368e+04	4.0533e+04	6.5504e+05	5.8474e+03	5.9498e+05	4.8710e+04	1.0000e-37	2.5312e+05	1.3393e+04	1.5107e+05	2.8035e+03	3.8729e+06	1.0000e-37	4.0021e+04	6.8040e+03	1.7556e+05	5.0031e+04	3.0345e+04	8.7533e+05	3.0173e+05	9.8306e+03	2.0806e-10	2.1981e+06	8.4685e+06	1.1554e+02	1.6052e+02	4.3941e+01	1.3196e+05	3.2320e+03	1.6454e+02	7.4417e+03	8.4012e+03	1.0115e+04	1.7141e+03	8.1094e+04	1.3672e+05	1.6958e+05	1.0388e+02	8.9874e+01	5.4595e-02	7.6066e+02	4.7430e+06	3.5483e+05	3.9008e+04	1.1741e+05	2.3290e-03	1.0000e-37	3.3335e+03	5.1665e+03	6.3876e+04	1.1594e+03	1.6573e+03	3.6978e+02	2.3310e+06	1.3207e+03	4.2837e+01	1.4005e+02	9.7209e+01	3.5604e-02	1.2984e+03	8.4942e+03	2.8422e+02	3.1333e+02	1.9602e+04	2.4248e+00	1.9209e+01	6.9178e+00	2.8552e+01	2.6027e+02	2.2396e+04	6.4548e+02	2.9929e+04	2.9063e+05	2.1841e+05	3.7657e+05	8.5000e-03	1.5101e+05	5.0031e+04
iteration 3	2.5653e+05	3.0791e+04	4.4985e+04	1.0000e-37	5.2851e+07	1.5898e+07	9.5165e-01	1.4830e+00	5.3136e-01	1.9370e+05	7.3699e+05	4.1115e+04	3.5685e+05	3.4581e+02	3.2376e+04	3.2319e+00	2.1032e+04	5.9046e+04	5.3616e+05	3.3887e+03	4.6646e+05	7.3132e+04	1.0000e-37	1.9194e+05	6.4914e+04	9.2089e+05	3.9214e+02	2.6658e+06	1.0000e-37	4.2552e+03	3.3209e+03	7.0312e+05	2.2695e+05	1.5468e+05	4.0010e+06	1.4749e+06	1.6739e+03	2.9213e-12	3.6469e+06	1.6872e+07	5.6632e+01	7.8284e+01	2.1549e+01	1.2913e+04	9.2641e+03	1.6590e+03	8.5196e+03	9.8140e+03	1.1805e+04	1.9913e+03	1.1432e+05	2.1649e+05	1.8031e+04	8.5025e+01	8.6338e+01	5.9930e-03	3.8613e+01	4.7430e+06	6.6865e+05	3.5888e+03	1.0802e+04	3.4254e-01	1.0000e-37	1.6578e+04	5.5827e+03	8.4125e+04	1.1709e+04	9.1995e+02	3.7354e+03	3.9905e+06	1.5627e+03	5.7440e+01	1.8780e+02	1.3036e+02	1.9318e-03	6.1633e+02	4.0941e+03	1.5552e+01	1.4873e+02	1.2870e+05	2.6850e+01	2.0308e+02	7.6684e+01	3.0662e+02	1.4082e+02	4.5332e+04	3.4924e+02	6.0323e+04	6.7356e+05	1.4264e+05	3.2382e+05	2.6908e-04	9.2085e+05	2.2695e+05
