#lineslist	C  3 977.0A	N  3 991.0A	H  1  1026A	TOTL  1035A	INCI  1215A	TOTL  1216A	N  5  1239A	TOTL  1240A	N  5  1243A	SI 2  1263A	6LEV  1304A	SI 2  1308A	TOTL  1397A	TOTL  1402A	TOTL  1406A	N  4  1485A	TOTL  1486A	SI 2  1531A	TOTL  1549A	HE 2  1640A	TOTL  1665A	AL 2  1671A	N  4  1719A	TOTL  1750A	TOTL  1860A	TOTL  1888A	C  3  1907A	TOTL  1909A	C  3  2297A	O  3  2321A	O II  2471A	TOTL  2326A	TOTL  2335A	TOTL  2665A	TOTL  2798A	MG 2  2803A	NE 3  3343A	NE 5  3426A	BA C     0 	BAC   3646A	O II  3726A	TOTL  3727A	O II  3729A	NE 3  3869A	HE 1  3889A	CA 2  3933A	HE 1  4026A	S II  4070A	S  2  4074A	S II  4078A	H  1  4102A	H  1  4340A	TOTL  4363A	HE 2  4686A	CA B  4686A	NE 4  4720A	AR 4  4740A	INCI  4860A	TOTL  4861A	O  3  4959A	O  3  5007A	N  1  5200A	FE14  5303A	O  1  5577A	N  2  5755A	HE 1  5876A	O  1  6300A	S  3  6312A	O  1  6363A	H  1  6563A	N  2  6584A	S II  6716A	S  2  6720A	S II  6731A	AR 5  7005A	AR 3  7135A	TOTL  7325A	AR 4  7331A	AR 3  7751A	6LEV  8446A	CA2X  8498A	CA2Y  8542A	CA2Z  8662A	CA 2  8579A	S  3  9069A	H  1  9229A	S  3  9532A	H  1  9546A	TOTL 1.083m	O  3  1661A	O  3  1666A	O  5  1218A	SI 3  1892A	TOTL  2335A
iteration 3	3.6671e+04	4.6019e+03	1.6953e+03	1.0000e-37	9.0719e+06	1.5682e+06	3.1403e-10	5.1078e-10	1.9674e-10	2.5947e+04	2.2032e+03	4.8670e+03	3.1726e+04	4.1688e-01	2.3839e+03	2.5399e+00	2.3263e+02	5.2383e+03	3.8601e+03	2.0903e+01	2.5026e+04	7.1360e+03	1.3389e-14	1.2281e+04	1.4828e+03	2.2212e+04	1.1472e+03	2.0730e+05	3.5512e+01	6.7200e+03	1.6784e+03	8.1134e+03	2.4670e+03	1.5023e+03	7.4802e+04	2.5922e+04	5.1554e+02	1.0000e-37	1.9725e+05	8.1369e+05	6.0687e+01	8.4666e+01	2.3053e+01	4.5478e+04	3.3127e+02	1.1573e+01	9.2071e+02	4.0509e+03	4.9466e+03	8.9566e+02	1.3938e+04	2.1558e+04	2.8475e+04	7.2073e-02	2.3858e-02	2.8167e-05	2.5575e+02	7.3300e+05	3.9493e+04	2.5326e+04	7.6231e+04	1.6666e-03	1.0000e-37	2.1160e+02	9.9554e+02	6.1851e+03	4.8014e+02	1.4754e+03	1.5315e+02	2.0340e+05	1.0305e+03	3.5248e+01	1.1559e+02	8.0344e+01	1.9653e-05	3.0705e+03	2.1598e+03	4.0788e+01	7.4095e+02	3.3990e+02	1.9871e-01	1.6105e+00	5.8626e-01	2.3955e+00	5.6032e+02	1.8750e+03	1.3896e+03	2.5701e+03	2.4363e+04	9.0790e+03	1.5947e+04	8.0243e-16	2.2124e+04	2.4670e+03
iteration 3	1.6257e+04	1.9498e+03	1.7902e+03	1.0000e-37	9.0719e+06	1.5962e+06	4.1012e-12	6.6692e-12	2.5680e-12	2.7684e+04	1.6589e+04	5.9290e+03	1.3020e+04	4.0366e-01	9.1631e+02	1.5727e-01	1.3380e+02	6.9192e+03	2.9706e+03	1.5546e+01	2.5722e+04	9.6695e+03	1.0000e-37	1.2928e+04	5.8465e+03	8.2755e+04	1.3685e+02	2.1554e+05	6.1962e-06	2.0953e+03	1.5747e+03	3.9696e+04	1.0983e+04	8.9373e+03	3.5132e+05	1.2085e+05	3.8421e+02	1.0000e-37	3.3019e+05	1.6207e+06	3.4615e+01	4.7876e+01	1.3169e+01	7.2794e+03	8.0980e+02	1.1223e+02	9.3606e+02	6.6661e+03	8.0441e+03	1.3780e+03	1.3699e+04	1.9994e+04	8.8783e+03	4.8724e-02	2.0871e-02	1.1050e-05	7.1722e+00	7.3300e+05	4.5012e+04	2.6760e+03	8.0549e+03	7.5689e-02	1.0000e-37	1.8531e+03	2.4576e+03	7.1100e+03	5.0712e+03	1.0247e+03	1.6178e+03	3.7799e+05	1.3423e+03	4.8852e+01	1.5987e+02	1.1102e+02	1.1295e-10	7.8617e+02	1.9521e+03	2.2653e+00	1.8971e+02	2.5804e+03	1.6079e+00	1.2797e+01	4.8106e+00	1.9215e+01	2.0015e+02	3.6594e+03	4.9638e+02	4.9504e+03	6.6807e+04	7.8384e+03	1.7884e+04	2.5099e-17	8.2723e+04	1.0983e+04
iteration 3	5.0456e+03	8.2705e+02	1.5927e+03	1.0000e-37	9.0719e+06	1.6343e+06	2.8856e-14	4.6859e-14	1.8002e-14	2.6118e+04	2.7042e+04	5.9757e+03	1.3086e+03	2.3995e-02	6.1666e+01	1.4160e-03	9.7442e+00	7.3545e+03	5.8952e+02	6.7477e+00	9.8716e+03	1.0903e+04	1.0000e-37	5.5208e+03	5.2006e+03	6.7103e+04	1.2873e+01	9.4303e+04	1.0000e-37	1.1354e+02	4.3382e+02	6.9430e+04	1.9311e+04	2.0701e+04	6.5774e+05	2.3129e+05	2.1567e+01	1.0000e-37	3.4629e+05	1.8520e+06	7.6581e+00	1.0580e+01	2.9147e+00	2.6443e+02	2.9979e+03	1.5743e+03	1.0512e+03	4.2879e+03	5.1635e+03	8.7561e+02	1.2627e+04	1.9573e+04	4.8110e+02	3.8059e-02	2.0344e-02	5.0136e-11	4.5439e-02	7.3300e+05	4.7833e+04	1.3685e+02	4.1192e+02	9.2575e-01	1.0000e-37	3.4414e+03	1.1901e+03	7.2512e+03	8.6340e+03	1.1744e+02	2.7545e+03	4.1538e+05	6.3895e+02	3.6794e+01	1.2041e+02	8.3617e+01	6.8917e-13	7.4117e+01	5.3404e+02	1.4953e-02	1.7885e+01	4.2873e+03	3.3398e+01	2.3770e+02	9.2253e+01	3.6335e+02	2.3503e+01	4.4753e+03	5.8288e+01	5.8833e+03	9.9498e+04	2.8743e+03	6.9973e+03	1.0000e-37	6.7100e+04	1.9311e+04
iteration 3	7.3840e+02	3.1414e+02	1.4710e+03	1.0000e-37	9.0719e+06	1.6540e+06	1.0000e-37	1.0000e-37	1.0000e-37	2.5159e+04	2.6887e+04	5.8999e+03	5.4958e+01	1.6177e-09	2.2924e-01	4.2915e-07	9.8264e-03	7.3680e+03	3.1472e+00	2.3974e+00	1.7817e+02	1.0122e+04	1.0000e-37	1.0926e+02	5.0918e+02	9.9106e+03	3.5345e-01	4.0146e+03	1.0000e-37	3.5040e-01	4.4755e+01	5.8225e+04	2.4497e+04	1.9334e+04	8.6202e+05	3.1643e+05	9.6626e-02	1.0000e-37	2.9141e+05	1.6975e+06	1.0845e+00	1.4981e+00	4.1302e-01	2.0546e+00	4.5508e+03	1.7060e+04	1.2254e+03	2.6362e+03	3.1728e+03	5.3658e+02	1.4066e+04	2.1262e+04	1.4848e+00	3.1198e-02	1.8739e-02	4.6348e-14	4.7767e-05	7.3300e+05	5.0589e+04	6.5000e-01	1.9565e+00	1.7324e+00	1.0000e-37	3.2828e+03	1.9453e+02	5.7783e+03	8.0417e+03	3.9268e+00	2.5656e+03	3.9938e+05	1.2406e+02	2.7298e+01	8.9364e+01	6.2066e+01	5.1228e-17	4.2317e+00	5.5012e+01	1.2052e-05	1.0212e+00	4.4177e+03	6.0352e+02	3.5286e+03	1.4755e+03	5.6077e+03	1.0755e+00	4.7321e+03	2.6672e+00	6.2941e+03	8.9327e+04	5.1721e+01	1.2645e+02	1.0000e-37	9.9106e+03	2.4497e+04
iteration 3	3.0134e+02	2.7482e+00	1.8435e+03	1.0000e-37	9.0719e+06	1.5475e+06	1.0000e-37	1.0000e-37	1.0000e-37	2.3991e+04	1.7459e+04	5.5844e+03	2.1913e-02	1.0000e-37	1.3650e-04	1.0000e-37	1.0000e-37	6.7154e+03	1.0000e-37	1.2268e+00	2.8453e-01	9.1855e+03	1.0000e-37	1.2032e-01	2.3187e+01	3.4797e+02	3.1713e-03	3.7935e+01	1.0000e-37	2.3276e-04	3.3731e+00	4.5789e+04	2.0563e+04	1.7338e+04	7.3974e+05	2.8914e+05	4.7819e-04	1.0000e-37	2.1488e+05	1.3211e+06	1.2656e-01	1.7486e-01	4.8227e-02	2.2770e-02	3.2432e+03	8.1507e+04	1.2884e+03	1.4439e+03	1.7375e+03	2.9362e+02	1.6847e+04	2.7483e+04	9.8628e-04	1.7298e-02	4.8750e-03	1.0000e-37	2.0770e-08	7.3300e+05	6.2297e+04	6.8569e-04	2.0639e-03	1.3194e+00	1.0000e-37	2.1600e+03	1.2153e+01	4.6620e+03	5.6734e+03	7.1438e-02	1.8100e+03	4.1733e+05	1.0409e+01	1.7950e+01	5.8785e+01	4.0836e+01	1.0000e-37	2.6011e-01	4.1452e+00	4.0009e-09	6.2767e-02	3.0435e+03	2.6212e+03	1.2758e+04	5.4284e+03	2.0808e+04	2.7829e-02	4.3472e+03	6.9015e-02	5.9987e+03	7.1677e+04	8.2183e-02	2.0235e-01	1.0000e-37	3.4797e+02	2.0563e+04
iteration 4	1.2540e+02	2.0719e-02	2.2449e+03	1.0000e-37	9.0719e+06	1.1732e+06	1.0000e-37	1.0000e-37	1.0000e-37	1.5256e+04	5.1730e+03	2.7251e+03	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.9410e+03	1.0000e-37	9.2284e-01	9.1909e-04	3.9838e+03	1.0000e-37	3.9411e-04	2.8545e+00	2.0440e+01	8.2470e-05	9.9455e-01	1.0000e-37	7.4339e-07	1.4013e-01	4.8173e+03	3.9420e+03	3.2777e+03	3.7504e+05	1.3574e+05	7.2309e-06	1.0000e-37	1.3552e+05	8.0477e+05	4.3083e-03	5.9676e-03	1.6416e-03	7.0788e-04	1.9145e+03	1.6266e+05	1.2442e+03	1.1558e+02	1.3911e+02	2.3532e+01	1.9717e+04	3.5961e+04	3.1500e-06	1.1095e-02	8.8997e-04	1.0000e-37	1.0000e-37	7.3300e+05	8.2869e+04	3.2008e-06	9.6345e-06	1.3192e-01	1.0000e-37	1.4356e+02	1.4400e-01	4.5361e+03	6.3643e+02	3.7290e-03	2.0298e+02	5.4114e+05	1.5058e-01	2.0338e+00	6.6658e+00	4.6320e+00	1.0000e-37	2.1089e-02	1.7218e-01	1.0000e-37	5.0890e-03	8.3919e+02	3.6106e+03	1.8374e+04	7.7995e+03	2.9785e+04	2.0817e-03	3.2709e+03	5.1625e-03	4.8231e+03	5.9450e+04	2.6527e-04	6.5382e-04	1.0000e-37	2.0440e+01	3.9420e+03
iteration 3	3.9356e-01	1.4126e+01	3.7755e-01	1.0000e-37	9.0718e+07	2.3792e+00	6.8143e+03	1.4808e+04	7.9933e+03	1.4039e-17	2.8208e-30	1.0000e-37	1.0471e+01	1.0111e+04	1.3313e-03	1.1742e-01	2.0993e+03	1.0000e-37	1.1060e+04	1.1928e+01	6.1726e-02	2.5803e-11	3.0130e-07	2.2437e-05	1.3992e-02	1.0000e-37	2.9706e-11	1.1932e-07	1.3153e-07	1.2761e-07	1.0150e-17	1.3803e-18	5.6794e-23	1.0000e-37	4.7944e-03	1.6003e-03	1.9067e-07	1.0000e-37	2.1855e-02	4.7056e-02	9.3784e-17	2.3334e-16	1.3954e-16	7.5659e-06	2.8680e-09	1.0000e-37	1.7710e-10	1.0000e-37	1.0000e-37	1.0000e-37	2.0956e-03	3.5059e-03	9.0272e-05	5.6833e-02	4.3097e-03	5.7898e-03	4.5079e-07	7.3300e+06	6.4856e-03	2.9135e-06	8.7697e-06	2.8757e-37	1.0000e-37	4.6093e-31	3.5379e-14	8.9601e-10	5.2261e-33	1.0303e-18	1.6667e-33	1.7576e-02	6.5579e-20	1.0000e-37	1.0000e-37	1.0000e-37	8.2052e-04	3.1761e-15	1.2993e-17	5.3371e-09	7.6643e-16	2.3401e-31	1.0000e-37	1.0000e-37	1.0000e-37	1.0000e-37	2.8687e-18	1.3260e-04	7.1143e-18	1.8656e-04	1.0701e-08	1.7816e-02	4.3911e-02	1.5125e+02	1.0000e-37	5.6794e-23
iteration 3	5.0833e+01	1.3373e+02	3.9556e+00	1.0000e-37	9.0718e+07	2.4919e+01	5.1683e+03	1.0893e+04	5.7244e+03	1.1638e-14	2.0222e-26	8.8044e-16	1.0790e+02	9.9301e+03	7.9148e-02	1.0168e+00	2.0761e+03	1.0368e-15	1.6965e+04	1.9714e+01	7.3223e-01	2.4624e-09	3.2988e-07	2.1573e-04	1.4617e-01	1.0197e-09	3.4536e-08	1.5577e-05	1.9454e-05	1.3757e-05	1.0219e-14	1.5465e-15	4.7087e-20	1.0000e-37	5.0632e-02	1.6900e-02	2.2723e-05	1.0000e-37	2.2936e-01	5.0056e-01	9.7491e-14	2.2007e-07	1.4412e-13	9.9817e-04	5.1157e-07	3.9124e-19	3.2032e-08	1.0000e-37	1.0000e-37	1.0000e-37	2.2109e-02	3.7006e-02	1.0040e-03	1.5249e-01	4.6327e-02	4.9702e-02	3.7208e-04	7.3300e+06	6.8534e-02	3.3522e-04	1.0090e-03	1.3417e-28	1.0000e-37	3.8262e-27	3.5586e-12	1.6195e-07	4.5453e-29	5.3482e-15	1.4496e-29	1.8578e-01	5.3337e-17	1.0000e-37	1.0000e-37	1.0000e-37	5.3543e-02	2.7378e-11	3.1809e-08	4.2460e-06	6.6066e-12	1.6957e-27	7.0720e-22	6.4098e-21	3.3844e-21	1.0501e-20	1.5625e-14	1.4129e-03	3.8750e-14	1.9881e-03	1.9093e-06	2.1134e-01	5.2089e-01	1.5206e+01	1.0197e-09	4.7087e-20
iteration 3	4.1386e+03	1.2387e+03	5.9867e+01	1.0000e-37	9.0718e+07	3.7498e+02	2.8448e+03	5.7272e+03	2.8824e+03	1.9872e-12	1.1683e-21	1.5033e-13	1.1906e+03	5.6973e+03	1.2587e+00	1.6688e+00	1.8733e+03	1.7703e-13	1.5092e+05	8.1879e+02	2.3016e+03	1.4024e-07	4.2505e-07	2.4706e-03	2.3195e+00	4.7978e-08	4.3126e-05	1.2085e-02	5.1906e-02	1.4503e-01	1.4341e-09	5.6546e-12	8.0430e-18	6.6494e-13	8.3104e-01	2.7742e-01	1.7972e-02	1.0000e-37	3.4261e+00	1.1585e+01	2.2884e-08	1.7018e-02	3.1251e-08	2.9750e+00	4.8371e-02	4.9295e-15	3.3962e-03	5.1644e-21	6.8807e-21	1.7162e-21	3.5379e-01	5.9496e-01	6.1980e-01	4.6272e+00	7.0821e-01	4.8957e-02	2.1224e-01	7.3300e+06	1.1138e+00	9.5745e+00	2.8819e+01	4.4280e-26	1.0000e-37	1.8752e-21	6.0343e-10	1.7588e-02	4.4459e-23	2.8259e-12	1.4179e-23	3.0452e+00	2.2001e-14	2.8974e-20	5.1703e-20	2.2729e-20	1.1864e-01	2.0811e-07	2.5199e-03	1.4054e-03	5.0219e-08	1.0290e-22	8.8648e-18	8.0519e-17	4.2919e-17	1.3230e-16	1.4952e-11	2.4650e-02	3.7081e-11	3.4707e-02	1.8256e-01	8.4900e+02	1.4525e+03	1.1807e+00	4.7976e-08	8.0430e-18
iteration 3	5.4503e+03	3.2133e+03	7.9896e+02	1.0000e-37	9.0718e+07	4.3038e+03	5.8311e+02	9.8104e+02	3.9793e+02	9.5227e-10	3.1689e-19	7.2041e-11	3.0213e+03	1.5776e+03	1.4304e+01	4.1031e-01	1.5962e+03	8.4835e-11	1.7428e+05	1.7505e+03	2.4924e+03	5.9996e-06	3.1218e-07	3.1827e-02	3.3753e+01	3.7785e-06	4.2993e-04	1.7282e-01	1.0114e+00	2.5573e-01	6.2777e-08	9.0143e-10	3.8537e-15	2.8581e-11	1.2485e+01	4.1778e+00	1.5617e-02	1.0000e-37	4.6323e+01	2.1454e+02	1.3389e-06	2.6933e-01	1.0965e-06	1.2450e+01	3.3686e+00	2.1771e-12	2.5038e-01	2.2664e-17	3.0134e-17	7.4701e-18	5.1347e+00	8.6831e+00	1.1002e+00	1.3934e+01	2.0843e+00	2.6456e-03	1.0281e+00	7.3300e+06	1.6490e+01	5.6294e+01	1.6944e+02	8.0850e-23	1.0000e-37	5.9522e-19	1.0298e-07	1.3493e+00	3.3884e-20	6.7131e-10	1.0806e-20	4.6137e+01	1.5516e-11	9.5604e-17	2.1887e-16	1.2327e-16	2.5526e-02	1.6089e-05	4.5676e-02	3.1949e-03	3.8824e-06	4.6639e-20	3.8985e-15	3.5410e-14	1.9114e-14	5.8422e-14	9.3706e-09	3.8654e-01	2.3239e-08	5.4290e-01	1.2579e+01	9.8181e+02	1.5106e+03	5.2648e-02	3.7784e-06	3.8537e-15
iteration 3	1.1706e+04	4.2656e+03	5.5962e+03	1.0000e-37	9.0718e+07	1.6273e+04	1.2473e+01	2.0302e+01	7.8293e+00	1.0076e-06	1.9300e-15	7.6230e-08	4.2445e+03	9.8094e+02	1.3776e+02	1.1503e+00	1.5390e+03	8.9768e-08	1.7415e+05	1.7998e+03	2.4443e+03	5.8018e-04	5.7717e-08	3.4016e-01	3.3688e+02	4.1185e-04	1.7142e-02	1.9187e+00	1.1240e+01	1.3457e+00	8.1612e-06	1.0715e-07	4.0836e-12	2.7820e-09	1.2950e+02	4.4509e+01	6.3413e-02	1.0000e-37	4.9301e+02	2.4615e+03	5.4388e-05	1.3310e+00	2.4138e-05	8.5394e+01	4.1057e+01	1.6553e-09	3.1587e+00	2.5293e-13	3.3671e-13	8.3782e-14	5.7162e+01	9.8296e+01	5.8093e+00	1.5058e+01	2.2859e+00	2.9302e-04	9.7853e+00	7.3300e+06	1.9017e+02	4.2168e+02	1.2693e+03	9.5842e-20	1.0000e-37	3.7646e-16	1.1658e-05	1.7180e+01	2.8609e-17	4.0419e-07	9.1238e-18	5.2405e+02	1.2126e-08	1.9036e-13	5.8817e-13	3.9780e-13	3.3874e-03	1.3329e-03	4.9378e-01	2.2526e-02	3.2164e-04	2.9704e-16	2.9599e-12	2.6885e-11	1.4571e-11	4.4416e-11	7.3104e-06	4.3337e+00	1.8130e-05	6.0049e+00	1.1867e+02	9.6961e+02	1.4747e+03	7.0054e-04	4.1182e-04	4.0836e-12
iteration 3	3.8445e+04	6.3103e+03	1.0169e+04	1.0000e-37	9.0718e+07	7.2750e+04	1.7143e-01	2.7884e-01	1.0741e-01	9.6014e-04	8.7735e-13	7.2637e-05	7.9980e+03	6.7557e+02	1.2566e+03	8.8231e+00	1.5680e+03	8.5536e-05	1.7335e+05	1.7131e+03	2.5230e+03	5.6087e-02	7.7714e-09	4.0128e+00	1.6163e+03	4.1859e-02	1.0896e+00	2.5786e+01	1.0930e+02	1.8906e+01	1.2456e-03	1.8467e-05	3.9650e-09	2.9063e-07	7.4991e+02	3.0918e+02	7.7569e-01	1.0000e-37	4.8567e+03	2.3730e+04	9.6491e-04	2.1509e+00	3.7161e-04	9.1425e+02	3.3309e+02	2.4176e-06	3.1773e+01	2.8586e-09	3.7627e-09	9.0406e-10	6.2126e+02	1.0479e+03	8.0783e+01	1.4241e+01	2.1686e+00	4.6501e-05	1.1095e+02	7.3300e+06	1.9147e+03	3.9917e+03	1.2015e+04	1.0230e-16	1.0000e-37	4.2146e-13	1.3109e-03	1.7395e+02	2.9867e-14	4.8879e-04	9.5251e-15	4.9292e+03	6.5904e-06	2.3410e-10	7.7091e-10	5.3681e-10	5.5886e-04	1.3101e-01	4.8857e+00	4.5303e-01	3.1614e-02	1.3447e-13	4.3268e-09	3.9300e-08	2.1273e-08	6.4900e-08	6.0696e-03	4.8223e+01	1.5053e-02	6.3098e+01	5.4637e+02	1.0023e+03	1.5206e+03	1.5212e-08	4.1843e-02	3.9650e-09
iteration 3	3.7163e+05	3.1670e+04	1.2054e+04	1.0000e-37	9.0718e+07	4.9898e+05	6.8168e-06	1.1088e-05	4.2708e-06	8.9650e-01	1.3690e-10	6.7838e-02	2.4511e+04	1.0614e+02	5.5214e+03	5.2461e+01	2.0080e+03	7.9882e-02	1.1670e+05	1.1455e+03	4.1854e+03	5.3780e+00	3.0161e-12	4.1292e+02	2.9359e+03	4.5447e+00	4.6184e+02	1.1252e+04	3.8043e+02	6.8707e+02	2.1916e-01	1.4523e-01	5.3068e-06	7.1226e-05	1.5207e+03	7.1334e+02	2.5557e+01	1.0000e-37	4.4563e+04	1.9370e+05	1.6053e-02	2.3564e+00	6.0763e-03	1.2982e+04	1.1697e+03	4.2566e-02	2.9901e+02	2.8303e-05	3.5520e-05	7.2171e-06	4.4991e+03	7.3491e+03	2.9121e+03	9.9606e+00	1.5924e+00	9.9194e-05	6.0398e+02	7.3300e+06	1.4346e+04	2.6453e+04	7.9622e+04	5.1304e-13	1.0000e-37	7.4739e-10	6.2976e-01	1.6642e+03	3.6612e-11	1.1143e+00	1.1676e-11	3.9351e+04	7.1513e-03	2.9549e-07	9.7540e-07	6.7991e-07	3.8362e-04	1.3155e+01	4.0903e+01	1.5672e+01	3.1744e+00	1.7308e-11	1.0459e-04	9.4731e-04	4.4552e-04	1.4974e-03	2.9869e+00	4.7417e+02	7.4074e+00	6.0302e+02	3.4581e+03	1.6720e+03	2.5134e+03	5.8399e-11	4.5385e+00	5.3068e-06
iteration 4	4.8197e+05	6.1955e+04	1.9236e+04	1.0000e-37	9.0718e+07	3.9540e+06	9.7324e-08	1.5830e-07	6.0974e-08	8.4158e+02	3.4077e-07	8.3411e+01	9.4625e+04	1.5369e+01	1.1552e+04	3.1809e+01	3.1616e+03	9.6448e+01	6.7911e+04	5.9368e+02	5.5190e+04	5.1661e+02	4.1533e-13	2.4642e+04	4.4836e+03	1.0011e+03	2.4008e+03	4.3617e+05	3.8109e+02	1.5169e+04	2.0622e+01	4.3340e+01	5.2281e-02	1.1687e-01	2.4694e+03	1.1520e+03	1.1566e+03	1.0000e-37	4.0096e+05	1.5174e+06	2.6909e-01	2.7131e+00	1.0196e-01	1.1154e+05	2.3572e+03	1.1030e+01	2.6249e+03	1.4101e-02	1.7075e-02	2.9737e-03	3.2108e+04	5.3113e+04	6.4277e+04	6.3245e+00	1.0112e+00	2.9853e-04	1.1914e+03	7.3300e+06	1.0761e+05	6.1118e+04	1.8397e+05	3.2415e-10	1.0000e-37	1.4886e-06	1.4613e+01	1.5312e+04	5.6372e-08	1.9481e+02	1.7978e-08	3.1960e+05	3.7163e-01	5.0726e-05	1.6610e-04	1.1538e-04	2.8496e-04	6.6371e+02	1.9374e+02	1.8766e+02	1.6016e+02	3.1498e-08	6.9823e-02	5.7024e-01	2.2041e-01	8.6048e-01	8.0281e+01	3.6849e+03	1.9910e+02	4.7263e+03	3.4278e+04	2.2161e+04	3.3029e+04	2.4050e-13	9.9882e+02	5.2281e-02
iteration 3	4.5436e+05	5.4113e+04	4.7154e+04	1.0000e-37	9.0718e+07	1.5666e+07	3.6022e-09	5.8590e-09	2.2567e-09	2.6351e+05	1.7991e+05	4.7352e+04	5.1336e+05	1.1018e+01	4.1771e+04	5.0430e+00	4.2282e+03	5.1085e+04	6.1283e+04	2.9973e+02	4.2226e+05	6.9426e+04	1.0000e-37	1.9969e+05	1.9774e+04	3.3437e+05	2.2355e+03	3.1410e+06	1.0000e-37	3.0834e+04	9.8946e+03	2.4256e+05	6.9114e+04	4.1173e+04	9.5132e+05	3.2849e+05	6.9505e+03	1.0000e-37	2.3374e+06	9.3587e+06	1.5534e+02	2.1542e+02	5.9074e+01	1.0848e+05	3.8532e+03	1.4377e+02	7.9653e+03	9.6917e+03	1.1667e+04	1.9754e+03	8.9249e+04	1.5175e+05	1.3065e+05	2.6580e+00	4.2294e-01	1.9260e-04	3.9452e+02	7.3300e+06	4.1198e+05	3.3842e+04	1.0186e+05	1.4437e-03	1.0000e-37	3.7566e+03	6.3643e+03	6.2909e+04	9.0484e+02	3.5244e+03	2.8859e+02	2.5660e+06	1.4710e+03	4.6996e+01	1.5362e+02	1.0663e+02	4.7878e-05	4.8577e+03	1.2294e+04	1.3564e+02	1.1722e+03	2.8060e+04	2.0888e+00	1.6676e+01	6.0303e+00	2.4795e+01	6.0362e+02	2.5378e+04	1.4970e+03	3.4001e+04	2.5375e+05	1.5438e+05	2.6788e+05	4.7957e-15	3.3423e+05	6.9114e+04
iteration 3	1.9416e+05	2.2358e+04	4.8719e+04	1.0000e-37	9.0718e+07	1.5999e+07	4.8129e-11	7.8259e-11	3.0131e-11	2.8461e+05	1.1294e+06	6.0352e+04	1.6815e+05	6.3022e+00	1.3072e+04	2.5495e-01	1.6987e+03	7.4645e+04	3.7613e+04	1.6192e+02	3.2237e+05	1.0251e+05	1.0000e-37	1.4952e+05	7.6375e+04	1.0113e+06	3.1458e+02	2.1528e+06	1.0000e-37	3.1762e+03	5.9355e+03	1.1473e+06	3.6991e+05	2.4560e+05	5.0740e+06	1.8919e+06	9.9104e+02	1.0000e-37	4.9437e+06	2.3929e+07	9.2594e+01	1.2792e+02	3.5228e+01	8.9402e+03	9.2987e+03	1.3143e+03	8.7061e+03	1.1632e+04	1.3990e+04	2.3581e+03	1.5212e+05	3.0100e+05	1.3458e+04	7.0950e-01	2.1294e-01	1.9224e-05	8.6226e+00	7.3300e+06	9.8405e+05	3.0181e+03	9.0844e+03	2.3990e-01	1.0000e-37	2.0604e+04	7.3325e+03	8.0263e+04	1.1790e+04	1.2642e+03	3.7610e+03	5.2195e+06	1.8129e+03	6.3340e+01	2.0706e+02	1.4372e+02	1.6411e-10	8.9312e+02	7.3068e+03	3.2277e+00	2.1552e+02	2.0418e+05	1.9797e+01	1.5368e+02	5.8017e+01	2.3149e+02	2.1078e+02	6.8343e+04	5.2274e+02	9.1956e+04	6.1832e+05	9.8353e+04	2.2402e+05	1.6699e-15	1.0113e+06	3.6991e+05
iteration 5	6.0434e+04	9.2190e+03	5.4686e+04	1.0000e-37	9.0718e+07	1.5992e+07	3.1919e-13	5.1807e-13	1.9889e-13	2.5104e+05	1.1393e+06	5.9171e+04	1.5660e+04	3.2346e-01	8.4307e+02	4.0468e-03	9.0671e+01	7.5218e+04	6.6522e+03	6.8816e+01	1.0241e+05	1.1328e+05	1.0000e-37	4.0753e+04	6.3432e+04	7.7934e+05	3.4945e+01	3.9287e+05	1.0000e-37	1.3892e+02	8.5255e+02	9.2643e+05	4.2130e+05	3.3411e+05	7.0813e+06	2.8501e+06	2.7522e+01	1.0000e-37	4.9870e+06	2.6804e+07	1.4922e+01	2.0608e+01	5.6790e+00	2.7728e+02	3.4978e+04	1.9113e+04	1.3225e+04	6.4333e+03	7.7378e+03	1.3045e+03	1.5186e+05	2.6829e+05	5.8866e+02	4.6089e-01	2.0207e-01	6.9402e-11	5.0686e-02	7.3300e+06	8.9294e+05	1.5202e+02	4.5759e+02	1.6065e+00	1.0000e-37	1.6012e+04	2.3392e+03	9.5158e+04	1.3476e+04	1.3316e+02	4.2992e+03	5.2035e+06	7.7224e+02	4.5172e+01	1.4775e+02	1.0258e+02	8.2695e-13	8.0443e+01	1.0483e+03	1.7800e-02	1.9412e+01	2.5942e+05	4.5970e+02	2.9495e+03	1.1799e+03	4.5891e+03	2.5647e+01	7.6999e+04	6.3606e+01	9.9392e+04	8.7563e+05	2.9816e+04	7.2590e+04	1.0000e-37	7.7934e+05	4.2130e+05
